0,14
1,13
2,23
3,2
4,18
5,17
6,11
7,23
8,22
9,11
10,2
11,9
12,11
13,8
14,11
15,17
16,0
17,8
18,2
19,0
20,14
21,0
22,9
23,17
24,8
25,1
26,22
27,8
28,17
29,6
30,14
31,10
32,10
33,16
34,10
35,10
36,16
37,8
38,15
39,12
40,16
41,10
42,13
43,17
44,7
45,17
46,10
47,14
48,24
49,0
50,7
51,8
52,22
53,20
54,14
55,14
56,0
57,9
58,17
59,14
60,13
61,11
62,11
63,12
64,17
65,6
66,6
67,14
68,12
69,13
70,13
71,22
72,21
73,8
74,22
75,18
76,17
77,17
78,6
79,8
0,[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
2,[0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0]
4,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
5,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0]
6,[1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
7,[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]
8,[0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
9,[0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
11,[0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
12,[0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
13,[0 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0]
14,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0]
15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0]
16,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0]
17,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0]
18,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0]
19,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
20,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0]
21,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0]
22,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0]
23,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
24,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0]
25,[1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,1.0,0.5,0.6666666666666666,2
2,1.0,0.75,0.8571428571428571,4
3,0.0,0.0,0.0,3
4,0.0,0.0,0.0,2
5,0.0,0.0,0.0,2
6,0.75,0.75,0.75,4
7,0.5,0.3333333333333333,0.4,3
8,0.375,1.0,0.5454545454545454,3
9,0.6666666666666666,0.5,0.5714285714285715,4
10,0.3333333333333333,0.6666666666666666,0.4444444444444444,3
11,0.5,0.75,0.6,4
12,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
13,0.6,0.75,0.6666666666666665,4
14,0.375,1.0,0.5454545454545454,3
15,1.0,0.3333333333333333,0.5,3
16,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
17,0.3,0.75,0.4285714285714285,4
18,1.0,0.6666666666666666,0.8,3
19,0.0,0.0,0.0,2
20,1.0,0.3333333333333333,0.5,3
21,1.0,0.3333333333333333,0.5,3
22,0.6,1.0,0.7499999999999999,3
23,0.5,0.5,0.5,2
24,1.0,0.3333333333333333,0.5,3
25,0.0,0.0,0.0,3
accuracy,0.55
f1_macro,0.48176268176268167
f1_weighted,0.5118912337662337
