0,1
1,22
2,7
3,2
4,2
5,8
6,11
7,23
8,24
9,20
10,11
11,25
12,11
13,5
14,4
15,5
16,4
17,8
18,2
19,0
20,16
21,0
22,14
23,17
24,19
25,1
26,10
27,8
28,23
29,8
30,9
31,22
32,10
33,2
34,0
35,17
36,6
37,19
38,15
39,15
40,4
41,7
42,13
43,17
44,7
45,0
46,3
47,14
48,24
49,0
50,7
51,3
52,1
53,9
54,16
55,2
56,23
57,25
58,17
59,14
60,7
61,2
62,11
63,12
64,22
65,8
66,14
67,20
68,12
69,21
70,24
71,22
72,11
73,8
74,11
75,18
76,15
77,17
78,16
79,19
0,[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
2,[0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,[0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
4,[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
6,[0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
7,[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
8,[0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2]
10,[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
11,[0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
12,[0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
13,[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0]
14,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0]
15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0]
16,[0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
17,[0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0]
18,[0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
19,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
20,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0]
21,[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
22,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0]
23,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0]
24,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
25,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0]
class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,0.3333333333333333,0.5,0.4,2
2,0.5,0.75,0.6,4
3,0.5,0.3333333333333333,0.4,3
4,0.3333333333333333,0.5,0.4,2
5,0.5,0.5,0.5,2
6,0.0,0.0,0.0,4
7,0.6,1.0,0.7499999999999999,3
8,0.5,1.0,0.6666666666666666,3
9,0.0,0.0,0.0,4
10,0.0,0.0,0.0,3
11,0.5,0.75,0.6,4
12,1.0,0.6666666666666666,0.8,3
13,1.0,0.25,0.4,4
14,0.5,0.6666666666666666,0.5714285714285715,3
15,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
16,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
17,0.4,0.5,0.4444444444444445,4
18,1.0,0.3333333333333333,0.5,3
19,0.3333333333333333,0.5,0.4,2
20,1.0,0.6666666666666666,0.8,3
21,0.0,0.0,0.0,3
22,0.25,0.3333333333333333,0.28571428571428575,3
23,0.3333333333333333,0.5,0.4,2
24,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
25,0.0,0.0,0.0,3
accuracy,0.4625
f1_macro,0.43275335775335777
f1_weighted,0.42957341269841276
