0,9
1,0
2,9
3,5
4,9
5,1
6,1
7,4
8,8
9,9
10,6
11,1
12,3
13,9
14,1
15,3
16,9
17,9
18,7
19,1
20,6
21,1
22,9
23,7
24,9
25,8
26,1
27,1
28,8
29,8
30,9
31,8
32,8
33,9
34,9
35,1
36,9
37,9
38,1
39,1
40,1
41,7
42,2
43,5
44,9
45,2
46,1
47,1
48,5
49,1
50,5
51,9
52,5
53,9
54,0
55,1
56,8
57,5
58,2
59,1
60,1
61,9
62,0
63,0
64,9
65,0
66,1
67,4
68,0
69,2
70,1
71,1
72,1
73,5
74,5
75,3
76,9
77,1
78,4
79,9
80,9
81,1
82,0
83,5
84,0
85,1
86,9
87,9
88,7
89,6
90,8
91,4
92,0
93,1
94,5
95,1
96,4
97,9
98,0
99,0
100,4
101,8
102,9
103,2
104,5
105,5
106,8
107,5
108,5
109,4
110,1
111,9
112,5
113,5
114,8
115,9
116,8
117,1
118,8
119,9
120,1
121,5
122,5
123,9
124,1
125,0
126,4
127,5
128,4
129,9
130,1
131,3
132,8
133,1
134,9
135,1
136,4
137,9
138,0
139,8
140,5
141,0
142,1
143,8
144,4
145,0
146,9
147,9
148,5
149,1
150,1
151,5
152,9
153,1
154,5
155,0
156,1
157,5
158,5
159,3
160,8
161,8
162,0
163,1
164,1
165,1
166,1
167,3
168,4
169,0
170,5
171,9
172,5
173,0
174,9
175,1
176,1
177,0
178,8
179,5
180,4
181,1
182,4
183,9
184,9
185,5
186,9
187,5
188,4
189,3
190,1
191,9
192,1
193,9
194,0
195,7
196,9
197,1
198,9
199,9
200,9
201,0
202,9
203,0
204,9
205,5
206,8
207,5
208,5
209,0
210,4
211,4
212,0
213,6
214,9
215,0
216,8
217,1
218,3
219,9
220,8
221,1
222,9
223,4
224,9
225,1
226,2
227,5
228,0
229,1
230,9
231,1
232,4
233,4
234,1
235,5
236,5
237,9
238,2
239,1
240,4
241,0
242,9
243,9
244,1
245,1
246,4
247,0
248,9
249,7
250,9
251,1
252,3
253,1
254,5
255,0
256,9
257,5
258,1
259,1
260,5
261,0
262,1
263,1
264,4
265,9
266,9
267,2
268,7
269,6
270,5
271,4
272,5
273,1
274,7
275,0
276,5
277,8
278,9
279,9
280,0
281,9
282,4
283,6
284,1
285,9
286,0
287,1
288,5
289,1
290,1
291,9
292,8
293,8
294,0
295,9
296,1
297,0
298,8
299,5
300,3
301,5
302,9
303,5
304,1
305,1
306,1
307,7
308,8
309,3
310,9
311,4
312,1
313,4
314,1
315,8
316,5
317,9
318,9
319,7
320,9
321,0
322,9
323,6
324,9
325,9
326,9
327,0
328,1
329,9
330,5
331,1
332,9
333,4
334,1
335,9
336,7
337,1
338,9
339,4
340,8
341,7
342,5
343,8
344,0
345,5
346,5
347,5
348,9
349,9
350,5
351,3
352,1
353,8
354,1
355,4
356,5
357,1
358,9
359,1
360,0
361,4
362,5
363,4
364,9
365,2
366,0
367,1
368,1
369,3
370,9
371,5
372,1
373,5
374,1
375,9
376,1
377,9
378,8
379,8
380,1
381,4
382,1
383,1
384,1
385,9
386,0
387,4
388,9
389,6
390,9
391,9
392,0
393,1
394,4
395,1
396,2
397,8
398,2
399,1
400,1
401,9
402,4
403,9
404,8
405,7
406,8
407,9
408,8
409,4
410,5
411,6
412,1
413,9
414,1
415,1
416,9
417,1
418,4
419,5
420,4
421,2
422,3
423,9
424,8
425,0
426,9
427,5
428,7
429,4
430,9
431,1
432,3
433,9
434,9
435,1
436,1
437,9
438,9
439,5
440,1
441,0
442,0
443,1
444,0
445,4
446,8
447,8
448,9
449,5
450,9
451,4
452,1
453,9
454,8
455,0
456,0
457,0
458,1
459,4
460,1
461,8
462,8
463,9
464,8
465,4
466,1
467,8
468,7
469,8
470,9
471,8
472,5
473,9
474,3
475,4
476,5
477,0
478,8
479,9
480,6
481,1
482,1
483,8
484,9
485,4
486,9
487,2
488,9
489,0
490,1
491,5
492,4
493,1
494,8
495,3
496,3
497,0
498,0
499,1
500,9
501,0
502,5
503,9
504,9
505,0
506,4
507,1
508,4
509,8
510,9
511,1
512,1
513,9
514,4
515,0
516,1
517,9
518,6
519,4
0,[44  2  1  1  0  1  2  0  1  3]
1,[  5 108   0   7   0   3   0   0   1   1]
2,[0 0 6 0 2 2 0 0 4 1]
3,[0 4 0 9 1 1 0 0 0 0]
4,[ 6  2  1  0 24  6  0  1  1  9]
5,[ 1  0  1  0  7 42  0  0  0  4]
6,[0 1 0 0 2 1 7 0 2 2]
7,[ 0  1  0  0  0  0  0 13  0  1]
8,[ 1  0  2  1  1  1  0  1 41  2]
9,[ 0  0  2  0 14  9  2  0  1 97]
class,precision,recall,fscore,total
0,0.7719298245614035,0.8,0.7857142857142858,55
1,0.9152542372881356,0.864,0.8888888888888888,125
2,0.46153846153846156,0.4,0.42857142857142855,15
3,0.5,0.6,0.5454545454545454,15
4,0.47058823529411764,0.48,0.4752475247524752,50
5,0.6363636363636364,0.7636363636363637,0.694214876033058,55
6,0.6363636363636364,0.4666666666666667,0.5384615384615385,15
7,0.8666666666666667,0.8666666666666667,0.8666666666666667,15
8,0.803921568627451,0.82,0.8118811881188118,50
9,0.8083333333333333,0.776,0.7918367346938776,125
accuracy,0.7519230769230769
f1_macro,0.6826937677355576
f1_weighted,0.7529433753362053
