class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,1.0,0.5,0.6666666666666666,2
2,1.0,0.75,0.8571428571428571,4
3,0.0,0.0,0.0,3
4,0.0,0.0,0.0,2
5,0.0,0.0,0.0,2
6,0.75,0.75,0.75,4
7,0.5,0.3333333333333333,0.4,3
8,0.375,1.0,0.5454545454545454,3
9,0.6666666666666666,0.5,0.5714285714285715,4
10,0.3333333333333333,0.6666666666666666,0.4444444444444444,3
11,0.5,0.75,0.6,4
12,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
13,0.6,0.75,0.6666666666666665,4
14,0.375,1.0,0.5454545454545454,3
15,1.0,0.3333333333333333,0.5,3
16,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
17,0.3,0.75,0.4285714285714285,4
18,1.0,0.6666666666666666,0.8,3
19,0.0,0.0,0.0,2
20,1.0,0.3333333333333333,0.5,3
21,1.0,0.3333333333333333,0.5,3
22,0.6,1.0,0.7499999999999999,3
23,0.5,0.5,0.5,2
24,1.0,0.3333333333333333,0.5,3
25,0.0,0.0,0.0,3
